topic,doc_a,says_a,doc_b,says_b
Where the repair's large ledgers sit / form A reading on the sphere,"LEARNINGS.md (C9 entry, carry-over)","""Read form A with the repair on before trusting it under the audit.""","LEARNINGS.md (C10 entry, carry-over)","""Read form A as a global integral, and without the repair (E38). This corrects C9's carry-over, which said to read it with the repair on."" (explicit self-correction within the same document)"
C1c / SGS diffusive flux under the audit (B3),"OPERATIONAL_TODO.md, 'On 2026-09-18'","Decision 6: 'extend the audit to the SGS diffusive flux, as C1c, after C1b' -- approved as a change to the 2026-09-11 decision.","OPERATIONAL_TODO.md, 'In flight' / FINDINGS E59","C1c was built and measured (E59): each of its three placements makes D4's residual larger, not smaller; 'C1c is not to be opened as a pull request in this form,' and it is shelved (superseded by the enthalpy_increment prototype)."
Whether E42's inference (vertical diffusion makes D1's gross residual) holds,FINDINGS.md E42,'Vertical diffusion acts on the whole column... That it is the cause is an inference.',FINDINGS.md E42b / section 6,"'E42b falsifies the inference... vertical diffusion does not make it, and the inference E42 drew was wrong.'"
E35's first-quoted 'form A without the repair' value,FINDINGS.md E35 (as first written),"Quoted 54.9 J/kg for 'form A with the repair's ledgers taken back out', concluding the clamp is at most part of C9's gap.",FINDINGS.md E35 (corrected 2026-09-11),"The ledgers are not transported, so subtracting them does not give form A without the repair; corrected reading is off by up to 22.0 J/kg against C9, 219 under tracer transport."
R9's moisture coefficient for the C1 reference shift,C1_reference_shift.md (first draft) / FINDINGS §6,"First gave c(q) = q_d*cp_d + q_v*cp_v + q_l*cp_l + q_i*cp_i, 1021.6 J/kg/K at q_tot=0.02, spread 1.7%.",C1_reference_shift.md (corrected) / FINDINGS R9,"Corrected: every water phase moves by cp_l*|delta|, so c(q) = (1-q_tot)*cp_d + q_tot*cp_l, 1068.0 J/kg/K at q_tot=0.02, spread 6.3%."
E52 vs E56: does the fork build the EDMF column more slowly than upstream,FINDINGS.md E52,"'With no diagnostic on, the fork builds the EDMF column in 635s where upstream takes 249s. The difference is in building the tendency function.'",FINDINGS.md E56,'The fork does not build the EDMF column more slowly than upstream. E52's gap is where the compile is counted' -- both spend ~400s compiling the same Jacobian solver; upstream's compile falls outside the timed block.
"E68's updraft-gap reading (V3, before the mixing convention was accounted for)",FINDINGS.md E68 (as first written),"L1 of psi-q_gas_A: 7.8% at 1h falling to 3.2% at 24h, read as the updraft gap alone.",FINDINGS.md E68 (erratum) / E73,"'The premise is wrong': the region tags have no sources, so new energy is attributed by mask, which the tracer does not do; with updraft copies (E73) the gap alone in the boundary layer is 0.3 points at 6h and 1.3 points at 24h, much smaller than E68's raw number."
E69's third point (is the sphere's residual the solver's),FINDINGS.md E69 (as first written),"'On the sphere the converged twin does not close better... So the sphere's residual is not the one-iteration solve's. It is the explicit processes the tags do not yet follow, and Float32.'",FINDINGS.md E69 (erratum) / E70,'The third point's explanation is wrong. With two iterations the sphere's residual is Float32 rounding alone (E70).'
The updraft-gap-bound script's headline percentages,OPERATIONAL_TODO.md 'On the way to G2' / UPDRAFT_GAP.md,"""In the tropics the gap would move 15 to 30% a day of the surface-sourced tags... elsewhere under 4%"" (from updraft_gap_bound.jl's upwind reconstruction).",review/agent_reviews/updraft_gap_bound/review.md,"The upwind reconstruction zeroes the gap at the face carrying the most mass flux (finding W1); under the model's own centred reconstruction, net relocation is 46% and 27% for sfc (not 15-30%), and 'elsewhere under 4%' does not hold (9-51% under centred, finding W2/M1-M6)."
"Whether a converged Newton twin measures the per-tag error of one-iteration solves on V2 (G2, first run)",OPERATIONAL_TODO.md G1 'On the way to G2',g2_v2_sphere_newton10 is described as the twin whose per-tag numbers should be compared against V2's one-iteration run.,FINDINGS.md E69,"'The twin cannot measure the per-tag error of one iteration here. The atmospheres differ by 4K at the top already at 1h... The two-iteration rerun, whose top follows the twin's, is the one to compare' -- i.e. g2_v2_sphere_n2, not the raw one-iteration g2_v2_sphere, is the comparable run."
"D4's residual size under the enthalpy audit, base run (E53 vs E59)",FINDINGS.md E53,"d4_column_edmf_enthalpy gross_residual 5.41e5 J/m2 at 24h (gross_relative 4.7e-3), from ClimaCore 0.16 / upstream v0.42.9-era code.",FINDINGS.md E59,"c1c_base_d4_enthalpy (the 'main, tags diffuse as tracers' baseline used for the C1c comparison) gives 6.32e5 J/m2 at 24h, 17% above E53's number, 'because E53 ran before #89, with ClimaCore 0.16 and upstream v0.42.9's model, so the two atmospheres differ' -- a code/version difference, not a contradiction, but the two headline D4-baseline residuals differ by 17% and should not be quoted interchangeably."
repair ledger extremes (C6 region ledgers) [found by H4-B; not fixed; for G4's full re-check],"E27, E35","±30,920 J/kg","E46, E48, ATTRIBUTION_PATH cause 6","±30,915 J/kg"
no-tag restart differences [found by H4-B; not fixed; for G4's full re-check],E58,"ρ 1.758e-10, ρe_tot 1.604e-4, u₃ 1.543e-11, 'the same numbers as E54'",E54,"ρ 1.5e-10, ρe_tot 1.7e-9, u₃ 3e-9"
C9 column residual [found by H4-B; not fixed; for G4's full re-check],E60,"2.660e3 at 1 h, 2.284e3 at 23 h","E34, E39","2,695 at 1 h, 2,284 at 24 h (one-hour offset?)"
flush rate on the sphere [found by H4-B; not fixed; for G4's full re-check],E74,0.0105-0.0165 a day,E75,"0.0153-0.0166, called unchanged"
step time once built [found by H4-B; not fixed; for G4's full re-check],E44b,17 ms,"E44c, E44e",13.7 and 14.7 ms; 14 ms
D4 free-troposphere residual at 24 h [found by H4-B; not fixed; for G4's full re-check],E60,-31 growing to -237 J/kg,ATTRIBUTION_PATH row 3d,-157 J/kg (-155 in E53's run)
share of the first hour's residual made in the first step [found by H4-B; not fixed; for G4's full re-check],E39 text,98%,E39 table,"2,675 of 2,695 = 99.3%"
E59 base [found by H4-B; not fixed; for G4's full re-check],FINDINGS,6.32e5,ATTRIBUTION_PATH 1.3,6.33e5 (rounding?)
T4 untagged control job [found by H4-B; not fixed; for G4's full re-check],"T4, .err/.out",27368587,"runs.csv, provenance.txt",27368036
E32 model commit [found by H4-B; not fixed; for G4's full re-check],"FINDINGS, old section 8",91b9bbb9,claims.csv,91b9bb9b (register typo)
FINDINGS length [found by H4-B; not fixed; for G4's full re-check],documents.csv,"3,120 lines",the file at H4,"3,136 lines"
