date,decided_by,decision,doc,section,still_in_force,superseded_by
2026-09-23,owner,"Revive the condense plan; the full re-check moves to the start of G4, only re-checking what G3 relies on now.",CONDENSE_PLAN.md,The owner's decisions of 2026-09-23,yes,
2026-09-23,owner,Rebuild the record branch on main (claude/tag-closure-record).,CONDENSE_PLAN.md,The owner's decisions of 2026-09-23,done,
2026-09-23,owner,Take the terrabyte setup to main in a small PR (#96).,CONDENSE_PLAN.md,The owner's decisions of 2026-09-23,yes,
2026-09-23,owner,The durable archive is ~/git/Clima/ClimaAtmosResiDyn-archive/; AGENTS.md records it as an exception to 'no data in $HOME'.,CONDENSE_PLAN.md,The owner's decisions of 2026-09-23,yes,
2026-09-23,owner,Worktree and branch removal goes by a list the owner approves (step H7).,CONDENSE_PLAN.md,The owner's decisions of 2026-09-23,yes,
2026-09-23,owner,"docs/src/tag_closure_memo.md and tag_closure_experiments.md are marked historical, and move to the archive later.",CONDENSE_PLAN.md,The owner's decisions of 2026-09-23,yes,
2026-09-23,owner,"$HOME normally holds code/configs only (no data); ClimaAtmosResiDyn-archive/ is a recorded exception, holding the durable tag_closure archive.",AGENTS.md,Storage,yes,
2026-09-23,owner,G3 is the water tags under EDMF; G4 is the energy source tags and uses what G3 learns.,G3_WATER_PLAN.md,0. Decisions this plan rests on,yes,
2026-09-23,owner,"The water tags are to become operational in the production configuration: a sphere with prognostic EDMF and 1M. EDMF support is a correctness requirement, not an extension.",G3_WATER_PLAN.md,0. Decisions this plan rests on,yes,
2026-09-23,owner,Precipitation provenance is in scope; rain and snow carry their own tags (review's option b). 0M splits the sink by subdomain; 1M falling water keeps the provenance it formed with.,G3_WATER_PLAN.md,0. Decisions this plan rests on,yes,
2026-09-23,owner,"The exchange is the default transport for water tags under EDMF, and updraft copies are the audit, behind one switch (as for energy in #95).",G3_WATER_PLAN.md,0. Decisions this plan rests on,yes,
2026-09-23,owner,"The bound takes its factor from the partition only, and each source tag gets its own (applies to both families); instruction sent as review/pr95_blend_factor_instruction.md.",G3_WATER_PLAN.md,0. Decisions this plan rests on,yes,
2026-09-23,owner,This session (ClimaAtmosResiDyn-exp) runs G3's jobs; a separate session runs the energy jobs and owns PR #95.,G3_WATER_PLAN.md,0. Decisions this plan rests on,yes,
2026-09-23,owner,GPU is out of G3 (as the old G3 had it); the sphere runs on CPU with MPI.,G3_WATER_PLAN.md,0. Decisions this plan rests on,yes,
2026-09-23,owner,"G3 is water, G4 is energy; production target; precipitation provenance with rain and snow tags; exchange by default with copies as audit; the partition-only blend factor; this session runs G3's jobs.",G3_TODO.md,Decisions,yes,
(waiting),owner,"The budgets of plan 6.1, to be set by the owner before V-W3; the sphere's budget before V-W11.",G3_TODO.md,Decisions,waiting_owner,
(waiting),owner,"WP5's default transport under EDMF, decided by the rule fixed in plan 4.3, after V-W3.",G3_TODO.md,Decisions,waiting_owner,
(waiting),owner,"The prognostic fields of the rain and snow tags, to be settled in design note WP4b-D and its review (recommended option: non-precipitating, rain and snow parts).",G3_TODO.md,Decisions,waiting_owner,
(waiting),owner,"A durable archive for the minimal reference datasets, and its size budget (blocks WP0's archive item only).",G3_TODO.md,Decisions,waiting_owner,
(waiting),owner,"ERA5 forcing for V-W8, if not already on disk; a download needs the owner's approval.",G3_TODO.md,Decisions,waiting_owner,
2026-09-19,owner,"V3 approved: a passive tracer with an updraft copy beside the tags on D4, to measure the tags' mixing against the air's own.",OPERATIONAL_TODO.md,Decided,done,
