item_id,doc,section,one_line_summary,status,milestone,target
OT-B1,OPERATIONAL_TODO.md,2. Blocking operation (B),Merge #70.,done,outside,archive
OT-B2,OPERATIONAL_TODO.md,2. Blocking operation (B),Merge #72.,done,outside,archive
OT-B3,OPERATIONAL_TODO.md,2. Blocking operation (B),P4: the EDMF build time with tags (>2h). #76 splits tags/records from the nested solver; build falls to 21 min.,done,outside,archive
OT-B4,OPERATIONAL_TODO.md,2. Blocking operation (B),"C1b: share EDMF's sub-grid fluxes among the tags (SGS mass flux donor share, sedimentation face flux, guard B4); validation D4 pair/D5/vd variant.",done,outside,archive
OT-B5,OPERATIONAL_TODO.md,2. Blocking operation (B),"C2: a restart guard writing offset/tag set/transport/repair into the checkpoint, failing on mismatch (T1 tests).",done,outside,archive
OT-B6,OPERATIONAL_TODO.md,2. Blocking operation (B),"V5: restart equivalence, two segments against one run, offset+repair. Ran (E54): tags exact; model's own restart of this column not bit for bit (E58).",done,outside,archive
OT-B7,OPERATIONAL_TODO.md,2. Blocking operation (B),Float32 (V3 done E45; T2 Float32 test group merged #75); runs longer than a day untested (U6).,done_not_struck,outside,archive
OT-B8,OPERATIONAL_TODO.md,2. Blocking operation (B),"MP1, more than one process. Done (E47) on 4 ranks; more than one node untested.",done_not_struck,M6,BACKLOG (multi-node MPI)
OT-B9,OPERATIONAL_TODO.md,2. Blocking operation (B),"The decided defaults and checks (B9): U1 offset required, U2+R1 closure check daily report-only with spin-up ref, A2 label-check warning. Merged as #77.",done,outside,archive
OT-B10,OPERATIONAL_TODO.md,2. Blocking operation (B),"V2, the production physics on a sphere (EDMF vd:true, sponges, topography, 1M); write e_src_res/rhoa/tags/records every 6h, audit at 6h period.",done,M5/sphere,"archive (met as G2, E74/E75)"
OT-B11,OPERATIONAL_TODO.md,2. Blocking operation (B),"Calibrate U2's tolerance per transport from V2 and V3, add the warning.",open,M5,G4.5
OT-B12,OPERATIONAL_TODO.md,2. Blocking operation (B),"D1: the user guide into the docs, with D3.",open,M1,G4_TODO (USER_GUIDE_DRAFT check)
OT-B13,OPERATIONAL_TODO.md,2. Blocking operation (B),"The GPU, last: run the diagnostic on a GPU on Levante, Float32, T3, fix what that forces.",open,M6,BACKLOG
OT-B14,OPERATIONAL_TODO.md,2. Blocking operation (B),File-based initial conditions started the region tags as NaN.,done,M1,"archive (fixed 2026-09-20, rebuild_tags_from_state!)"
OT-B15,OPERATIONAL_TODO.md,2. Blocking operation (B),The process records are advected horizontally on a sphere (bug). Fix is draft PR #93.,done,M1,archive
OT-S-C5,OPERATIONAL_TODO.md,3. Should fix (S),"C5: where the repair's large trades sit (just beyond the 20-degree edge, E46; none with 10-degree masks, E48).",done,outside,archive
OT-S-P1,OPERATIONAL_TODO.md,3. Should fix (S),"P1: the tag cost on a sphere, 1.46x (T9).",done,outside,archive
OT-S-D2,OPERATIONAL_TODO.md,3. Should fix (S),"D2, the stale docs: merged in #74 (fixes 3,7,9,10) and #72 (fixes 5,7); fix 4 needs no change.",done,outside,archive
OT-U3,OPERATIONAL_TODO.md,3. Should fix (S),U3: e_src_fix_<name> in the default output when the repair is on. In #77.,done,outside,archive
