claim_id,doc,section,claim,numbers,evidence,status,superseded_by,also_in
W1,FINDINGS.md,1. Water tags,"The residual is limiter-bounded, not discretization-bounded.","flat across dt 10/5/2.5 s, slope -0.011; first_order +0.255; none +0.464; 13.8x below van Leer at dt=10s","A1, A2",live,,
W2,FINDINGS.md,1. Water tags,Implicit water tags are not worth their Jacobian cost.,,"A1, A2",live,,
W3,FINDINGS.md,1. Water tags,"A column trips no limiter, so the ladders measure operator disagreement with nothing subtracted.",correction ledger identically zero across eleven column runs,A1-A4,live,,
W4,FINDINGS.md,1. Water tags,Float32 costs nothing on a column; explicitly not established on a sphere.,"a4_float32 2.745e-5 vs a1_dt10 2.660e-5, 3% difference",A4,live,E45,sphere case settled by E45
W5,FINDINGS.md,1. Water tags,"A3's gap was vertical diffusion, not 1M: vertical diffusion accounts for 27x of the 29x, 1M for 7%.",a3_1m 29x below a1_dt10; vert_diff factor 0.037; 1M factor 0.934; both 0.035,"A1, A3, a3_0m_vert_diff",live,,
W5b,FINDINGS.md,1. Water tags,"The 1M q_tot_eff mismatch is not measurable on a column, and does not raise the residual (7% down).","max|q_tag_res| 1.054e-7 -> 9.845e-8, 7% down","A3, a3_0m_vert_diff",live,,
W6,FINDINGS.md,1. Water tags,Issue #64: the water tags diverged to 1e130 on a sphere while rho*q_tot stayed bounded; run exited 0 reporting success.,"gross_relative 3.07e-5@1h, 0.809@3h, 24.2@4h, 5.9e113@24h; parent 1.62e16 throughout","A5, pre-fix, output/a5_sphere_limiter/before_issue_64_fix/",live,,
W7,FINDINGS.md,1. Water tags,"The mechanism was the multiplicative rescale itself, not its documented precondition.","e_after = r*e_before in every cell with a positive parent, unconditionally",verified against tagged_water.jl:800,live,,
W8,FINDINGS.md,1. Water tags,The existing integration test could not see the W6 divergence: its window ended before the failure.,"test quantity 7.5e-6@1h, 6.0e-5@2h vs bound 1e-2","tagged_water_integration.jl:237,312",live,,
W9,FINDINGS.md,1. Water tags,"The fix (W7) holds through a full day, and plateaus.","gross_relative 1.89e-4@6h, 2.51e-4@12h, 2.79e-4@24h","A5, re-run at 8ed98b6",live,,
W10,FINDINGS.md,1. Water tags,The fix did not hold closure by emptying the tags.,orphaned_relative 2.5e-9; nonpositive_fraction unchanged 0.35-0.36; signed residual -7.5e-6 relative,A5 audit,live,,
W11,FINDINGS.md,1. Water tags,"The residual is balanced, not directional.","untagged_relative 1.3556e-4 vs overclaimed_relative 1.4307e-4, 5% difference",A5 audit,live,,
W12,FINDINGS.md,1. Water tags,The corrections changed character (sum-preserving redistribution) -- the mechanistic evidence for the fix.,"before: q_tag_fix_extratropics 1.027e115 vs q_tag_fix_tropics 4.55e109, factor 2e5",A5,live,,
W13,FINDINGS.md,1. Water tags,Phase A now has a sphere operator residual.,"max|q_tag_res| 1.9e-5 at 24h, 1.5e-5@6h, 1.91e-5@17h; column at dt10 gives 2.84e-6 (uncontrolled comparison)",A5,live,,
W14,FINDINGS.md,1. Water tags,The ledger keeps growing while the residual does not.,"6.2e-4 at 24h, 32x the residual, still rising",A5,live,,
E1,FINDINGS.md,2. Energy source tags,The donor rule is inert over almost the whole domain (share undefined where rho*e_tot<=0).,"96.7% of DYCOMS column's volume; 43.276% of moist sphere's, constant to last digit over 24h",C0,live,,
E2,FINDINGS.md,2. Energy source tags,"Production therefore accumulates without loss, invisibly.",source tag reaches -209 J/kg on sphere while e_src_res shows nothing,C0,superseded,E14,section6: reading refined once loss runs everywhere
E3,FINDINGS.md,2. Energy source tags,One level crossing changes the behaviour of the whole column.,max e_src_rad falls by 137 J/kg during the 30->29-level transition,C0,live,,
E4,FINDINGS.md,2. Energy source tags,"The closure residual reaches 13.5% of integral|rho*e_tot| in one day, growing monotonically.",13.5%,"C0, C3, identically",live,,
E5,FINDINGS.md,2. Energy source tags,"The non-positive region is the troposphere, not a thin layer or domain artifact.","sign-change face at 13.02 km; r2-weighted volume 0.4327600 vs closure table's 0.4327600052941768; column negative at all 30 levels, step at 825 m","C0, where_negative.jl",live,,
E6,FINDINGS.md,2. Energy source tags,The smallest shift making the field positive is 45.4 kJ/kg on the column and 100.4 kJ/kg on the sphere.,45.4 kJ/kg; 100.4 kJ/kg,C0,live,,
E7,FINDINGS.md,2. Energy source tags,C3 is a controlled comparison: it reproduces c0_column bit for bit.,gross_relative 0.13456131085846748; max_abs_e_src_res 26888.66561703798; most-negative tag -44972.50629142498,C3,live,,
E8,FINDINGS.md,2. Energy source tags,On that run the source tag misses the dominant physical term (radiation).,"tag min -2.07e-9 max +4,321 J/kg; process record min -20,566 max +7,587 J/kg (all at 24h)",C3,live,,
E9,FINDINGS.md,2. Energy source tags,"The process-record alternative is demonstrated, not merely available.",,C3,live,,
E9b,FINDINGS.md,2. Energy source tags,The barrier is 1.8x larger than the headline figure.,"nonpositive_mass_fraction 0.7839 vs nonpositive_fraction 0.43276, ratio 1.811 (0.7813 at t=0); share is 78.4%, not 43.3%",C0 audit,live,,
E9c,FINDINGS.md,2. Energy source tags,"The energy residual is directional, where water's is balanced (W11).","overclaimed_relative 1.2245e-2 vs untagged_relative 3.1795e-3, ratio 3.85; orphaned_relative exactly 0.0",C0 audit,live,,
E10,FINDINGS.md,2. Energy source tags,"The barrier is structural, not numerical.",,,live,,
E11,FINDINGS.md,2. Energy source tags,"Under C1's shift the parent is positive everywhere, all day.",nonpositive_fraction and nonpositive_mass_fraction 0.0 at every hourly sample; orphaned 0.0,"C1, against c0_sphere_audit re-run on the same machine",live,,
E12,FINDINGS.md,2. Energy source tags,"With the loss running, the residual stops being directional and grows more slowly.","overclaim-to-undertag ratio 1.002-1.033 (audit) vs 1.49->3.85 (unshifted); gross_residual 1.846e21 vs 2.626e21 at 24h, 0.70 of unshifted",C1,live,,
E13,FINDINGS.md,2. Energy source tags,"Both runs make the same jump in the first hour, so that part does not depend on the reference.","gross_residual ~1e7 at t0 to 1.2485e21 (C1) / 1.2343e21 (unshifted) at 1h, 1.2% apart; C1's first hour is 68% of the day's residual",C1,live,,
E14,FINDINGS.md,2. Energy source tags,A positive parent does not keep the tags non-negative.,"sfc reaches -219.9 J/kg at 24h (vs -209.2 unshifted); tropics -11,575 at 7h; extratropics -9,632 at 4h, parent positive everywhere",C1,live,,
E15,FINDINGS.md,2. Energy source tags,"gross_relative improves 4.06x, and 2.85x of that is the normalising scale.",0.00380 vs 0.01542 at 24h; ∫|rho*e_tot| 2.84x larger at t=0 and 2.85x at 24h,C1,live,,
E16,FINDINGS.md,2. Energy source tags,"The C1 shift is not a pure relabelling in the discrete model; the leading candidate is the vertical energy-transport limiter, most but not all of the difference.","after one 400s step: rho 3.8e-5, rho*q_tot 7.8e-6, u_h 1.3e-4, u_3 3.5e-4 (relative to field max); with limiter off: 3.7e-8, 5.7e-10, 1.8e-7, 4.7e-5","run_c1_twin.jl; SLURM jobs 13383683, 13384080, 13384884; output/twin_c1/, twin_c1_newton/, twin_c1_limiter_off/",live,,
E17,FINDINGS.md,2. Energy source tags,An offset in the tags' total leaves the atmosphere untouched.,"c=110,495 and 220,990 J/kg; ta identical in every value, largest difference 0.0; nonpositive_fraction 0.0 at every sample in both","C4, jobs 13384913, 13384914; analysis/same_atmosphere.jl, offset_smoke.jl",live,,
E18,FINDINGS.md,2. Energy source tags,"C1's tag results belong to the tag rule, not to its changed atmosphere (C4 at C1's size reproduces them).","gross_residual within 0.7% of C1's all day, 0.70 of baseline at 24h; audit 1.001@3h/1.013@24h vs C1's 1.002/1.033; region tag minima -11,575/-9,631 vs C1's -11,575/-9,632; sfc -212.5 vs C1's -219.9","C4, against C1 and the terrabyte baseline",live,,
E19,FINDINGS.md,2. Energy source tags,"Doubling the offset barely moves the source tag, and makes the region tags more negative.","c=220,990 vs 110,495: absolute residual +0.9%, sfc max +1.1% (19,706 vs 19,486), audit balance 1.013->1.009; region tag minima grow 1.51x to -17,505/-14,563",C4 at both offsets,live,,
E20,FINDINGS.md,2. Energy source tags,"Checked per process, the tags found a process (subsidence) nobody had listed.","sphere agree to 20.2 J/kg at 24h (9.6e-4 of new energy's largest value); column differ by 17,954 J/kg at 675m at 24h","C5, jobs 13385401, 13385402; analysis/c5_process_closure.jl",superseded,E26,
