doc,lines,last_commit_date,kind,one_line_summary,current,proposed_home
OPERATIONAL_TODO.md,1209,2026-09-23,status,"The rolling status/todo log for the energy-tag work: roadmap M0-M8, G1/G2 goal definitions and their met-status, decisions, blocking/should-fix/nice-to-have items, plan A-D.",partly,STATUS.md + ROADMAP.md + DECISIONS.md + G4_TODO.md + BACKLOG.md (split); a stub left at OPERATIONAL_TODO.md pointing to STATUS.md
G3_WATER_PLAN.md,564,2026-09-23,plan,"The finalised, reviewed G3 plan: water tags under EDMF, 12 criteria, technical design (exchange, copies, follower, 0M split, rain/snow tags), work packages, experiments and budgets.",yes,G3_PLAN.md
G3_TODO.md,311,2026-09-23,plan,"G3's to-do list tracking the water plan's work packages and criteria, plus G4 (energy) items carried over as G4.1-G4.14, and the agent roster.",yes,G3_TODO.md (water list only) + G4_TODO.md (G4.1-G4.14 energy items)
FINDINGS.md,3120,2026-09-23,record,"The numbered findings register: W1-W14 (water), E1-E75 with sub-entries (energy), R1-R11 (energy reference), T1-T10 (cost), M1-M6 (method), falsified claims, open questions, and the 'Next' narrative.",yes,"FINDINGS.md, condensed by topic with errata and a superseded/falsified table; numbering continues at W15/E76"
README.md,787,2026-09-20,instruction,"The operator's guide to the harness: submitting jobs, what comes back, traps, the full run registry (phase A/B/C/D + operational checks tables), analysis scripts.",partly,"README.md (short operator guide: manifest, verifier, submitting, traps); the run-by-run registry tables move into RUNS.md"
ATTRIBUTION_PATH.md,1116,2026-09-19,discussion,"Research discussion on what complete energy attribution means and the path to it: closure vs correctness, the residual cause-by-cause table, numerics of the implicit channel, physics/convention choices, software architecture options, a validation program, literature review, and a ranked path.",partly,design/ (live reference); status of its ranked path folded into ROADMAP.md
TRACER_AND_FLUX.md,132,2026-09-19,discussion,"Compares the tracer and flux (donor-share) conventions for moving energy source tags: what each assumes, measures, and a reader may conclude; recommends the hybrid the prototype uses.",yes,design/
UPDRAFT_GAP.md,157,2026-09-19,design,"Defines the updraft-mixing gap for energy source tags under EDMF, why it is large yet invisible to closure, how it was measured (V2 estimate, V3), and the chosen fix (one switch: updraft copies as audit, zero-sum exchange as default).",yes,design/
SUBGRID_AND_MICROPHYSICS_DESIGN.md,614,2026-09-14,design,"Design for energy source tags under EDMF (with ice) and under 2M/P3: what the tags see today, options A/B/C for sharing SGS fluxes, microphysics design (M1-M5), tests, runs, sizes, and a later check against #72/#76 for C1b.",partly,design/ (much of options A/B is now built as C1a/C1b; design decisions section is historical)
repo-operability-pathway.md,208,2026-09-23,plan,"Frozen record (2026-09-21): an ordered milestone plan (M0-M8) and acceptance criteria for making the fork's diagnostics operational, pinned to PR #95's then-head.",stale,"reference/ (frozen external review, unchanged)"
untapped-potential-assessment-extended.md,134,2026-09-23,review,"Frozen record (2026-09-21): an extended assessment of six inherited opportunities plus six new insights (A-F) about the energy-tag closure/repair/comparison machinery, with a prioritized opportunity list.",stale,"reference/ (frozen external review, unchanged)"
LEARNINGS.md,1425,2026-09-14,record,"The barrier register: one narrative entry per run (Barrier/Class/Carry-over), the detailed reasoning behind most FINDINGS W/E/T entries through job P4's cause and fix (2026-09-14).",stale,archive/2026-09-23/; what only LEARNINGS holds moves into FINDINGS as short reasons
NEXT_SESSION.md,300,2026-09-18,instruction,"Handover instructions for the session taking over: reading order, rules of engagement, state as of 2026-09-18/09-14, traps already paid for, and the series' documentation conventions.",stale,archive/2026-09-23/ (delete-when-series-ends note in the doc itself; superseded by later handover state in OPERATIONAL_TODO/memory files)
LEVANTE_TASKS.md,544,2026-09-14,plan,"The (historically named) task list: what to run next in order, done through job P4's cause/fix (2026-09-14), pull requests as of 2026-09-10, known defects, 'not yet, and why'.",stale,archive/2026-09-23/
TODO_REVIEW_2026-09-14.md,76,2026-09-14,review,An Opus agent's read-only review of a draft remaining-tasks list against the repository on 2026-09-14; its findings were folded into OPERATIONAL_TODO.md.,stale,archive/2026-09-23/
ENTHALPY_AUDIT_DESIGN.md,126,2026-09-14,design,"Design for the enthalpy-form transport audit switch (energy_source_tag_transport: tracer|enthalpy), with the owner's four decisions of 2026-09-11.",stale,"archive/2026-09-23/ (finished design, built as #72; the enthalpy_increment prototype has since largely superseded the audit's role in closure)"
RESTART_GUARD_DESIGN.md,179,2026-09-14,design,"Design for C2, the restart guard for energy source tags: checkpoint keys, error texts, tests (T1), and open questions for the owner.",stale,"archive/2026-09-23/ (finished design, built as #92/C2)"
C1_reference_shift.md,553,2026-09-10,design,"The argument and recipe behind C1 (the reference-shift option): why option 1 should be dropped, the co-adjusted map for option 2, costs the memo did not count, and the recommendation, with a raw-probe appendix.",stale,"archive/2026-09-23/ (superseded in practice by the tag-side offset, C4/energy_source_tag_offset, but kept as the argument's record)"
CLIMACORE_ISSUE_DRAFT.md,126,2026-09-14,draft,"A local draft ClimaCore issue on FieldMatrixWithSolver's ~n^4 compile-time scaling (E44d/E44e), with a reproducer and suggestions; not filed (decision 3 of 2026-09-18: not filed).",stale,archive/2026-09-23/ (drafts)
